profile,strategy,mean,median,p95,p99
default,Best-Acc,1.58056640625,1.58056640625,1.58056640625,1.58056640625
default,Lowest-Latency,1.12226806640625,1.05419921875,1.24560546875,1.38916015625
default,Random,1.35410888671875,1.24560546875,1.77197265625,1.77197265625
default,Round-Robin,1.35554443359375,1.24560546875,1.77197265625,1.77197265625
default,SLO-first,1.13375244140625,1.05419921875,1.24560546875,1.58056640625
fast,Best-Acc,1.58056640625,1.58056640625,1.58056640625,1.58056640625
fast,Lowest-Latency,1.12848876953125,1.05419921875,1.24560546875,1.38916015625
fast,Random,1.3487255859375,1.24560546875,1.77197265625,1.77197265625
fast,Round-Robin,1.35554443359375,1.24560546875,1.77197265625,1.77197265625
fast,SLO-first,1.1238232421875,1.05419921875,1.24560546875,1.38916015625
heavy,Best-Acc,1.58056640625,1.58056640625,1.58056640625,1.58056640625
heavy,Lowest-Latency,1.1240625,1.05419921875,1.24560546875,1.38916015625
heavy,Random,1.3621240234375,1.24560546875,1.77197265625,1.77197265625
heavy,Round-Robin,1.35554443359375,1.24560546875,1.77197265625,1.77197265625
heavy,SLO-first,1.12394287109375,1.05419921875,1.24560546875,1.3910742187499983
